name,bugs,code_smells,sqale_index,duplicated_blocks,duplicated_lines_density,complexity
0,17,449,8.4,8,3.6,596
10,19,464,10.1,2,1.2,447
12,21,445,9.2,18,12.5,532
13,10,200,3.8,15,22.5,169
14,24,663,14.8,18,6.9,733
15,9,251,5.1,8,2.9,413
16,21,447,10.0,31,7.8,748
17,21,484,8.5,7,7.2,437
18,16,555,11.9,26,11.4,811
19,16,295,8.2,21,7.3,531
2,6,338,6.6,18,8.4,360
20,6,202,3.1,6,3.9,374
21,9,242,5.4,7,5.2,274
22,13,455,10.6,26,12.2,546
23,25,765,17.3,14,6.3,832
24,27,358,7.8,13,8.6,600
25,29,316,7.4,2,0.9,608
28,29,297,6.6,8,3.5,619
29,7,251,5.6,2,1.5,373
3,15,319,6.3,0,0.0,434
30,20,323,5.8,7,10.1,500
34,21,398,8.3,12,2.9,669
37,28,565,12.6,12,4.5,708
39,74,512,9.8,25,10.5,523
4,13,327,6.3,13,4.9,393
40,15,208,5.2,42,14.2,712
43,15,384,8.6,44,12.0,739
44,12,255,4.7,6,5.1,419
45,8,250,5.4,18,7.9,697
48,19,420,8.8,10,3.6,688
49,11,319,7.2,17,9.1,563
5,0,343,7.4,17,11.0,294
50,4,175,3.9,14,5.2,608
51,14,186,3.4,2,1.2,519
53,13,402,7.9,0,0.0,723
54,4,397,9.5,11,3.7,782
55,20,279,6.2,5,3.0,523
56,15,548,11.6,6,1.5,685
57,16,203,4.3,0,0.0,781
58,19,212,4.7,11,5.7,544
59,16,232,5.3,2,0.9,591
6,25,336,7.4,8,4.3,623
63,15,170,3.7,0,0.0,449
64,60,393,8.2,12,3.9,543
65,6,260,6.0,4,2.4,599
67,9,147,4.4,4,1.5,596
69,9,524,11.8,19,4.2,607
7,33,339,6.0,6,4.0,387
70,16,343,7.3,8,5.0,740
71,17,308,7.4,6,1.7,754
74,39,499,9.9,4,1.1,1033
76,21,261,5.6,0,0.0,850
77,32,302,8.4,17,2.4,892
78,30,612,15.2,100,16.0,1158
79,15,321,8.2,13,3.2,664
8,11,294,6.1,7,5.6,537
81,17,427,7.9,17,4.1,742
82,21,265,7.6,18,8.8,593
83,30,815,16.0,19,5.4,880
84,15,250,4.8,7,2.9,719
85,20,244,5.8,11,3.3,678
86,14,299,7.9,60,6.5,678
87,15,347,5.9,7,4.8,703
88,18,153,2.8,9,4.8,421
89,9,702,14.6,41,12.3,1091
90,31,232,6.0,26,9.8,755
91,17,154,3.6,7,3.2,614
93,12,202,5.6,19,6.3,803
95,17,194,4.6,6,1.6,937
97,8,317,6.4,2,0.7,723
98,3,664,11.4,21,7.7,591
